species,length_cm,length_ref,mass_grams,phylo_distance_diet_model_mya,vol.v,Ven_ref_fixed,Ven_refs,environment,constriction,Env_refs,dimensions,ld50_mg,ld50_method,ld50_model,ld50_ref,ld50_ref_fix,fishes,inverts,amphibians,reptiles,birds,eggs,mammals,egg.bin,diet_refs,prey_size_g
Acalyptophis_peronii,140,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",567,400.1,0.33,"Minton, S.A., 1983. Lethal toxicity of venoms of snakes from the Coral Sea. Toxicon, 21(6), pp.901-902.","Minton, S.A., 1983. Lethal toxicity of venoms of snakes from the Coral Sea. Toxicon, 21(6), pp.901-902.",aquatic,no,"Voris, H.K. and Voris, H.H., 1983. Feeding strategies in marine snakes: an analysis of evolutionary, morphological, behavioral and ecological relationships. American Zoologist, 23(2), pp.411-425.",3,0.08,sc,mouse,Mackessy and Tu 1993,"Mackessy, S.P. and Tu, A.T., 1993. Biology of the sea snakes and biochemistry of their venoms. Toxin-related Diseases: Poisons Originating from Plants, Animals and Spoilage. New Delhi: Oxford & IBH Publishing Co, pp.305-51.",100,0,0,0,0,0,0,no,"Voris, H.K. and Voris, H.H., 1983. Feeding strategies in marine snakes: an analysis of evolutionary, morphological, behavioral and ecological relationships. American Zoologist, 23(2), pp.411-425.",7.94
Acanthophis_antarcticus,100,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",252,205.8,63,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; Eds. J. Meier and J. White (1995) Handbook of Clinical Toxicology of Animal Venoms and Poisons. CRC Press, Boca Raton; Garnet J.R. (1970) Venomous Australian Animals Dangerous to Man. Commonwealth Serum Laboratories, Parkville, Victoria. ",Mirtschin.et.al.2006Garnet.1970.Meier.and.White.1995.Minton.1974,terrestrial,no,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",1,0.25,iv,mouse,"Minton, S and Minton, M.R. (1969). Venomous Reptiles. Scribners New York. ","Minton, S and Minton, M.R. (1969). Venomous Reptiles. Scribners New York. ",0,0,6,53,9,0,32,no,"Shine, R., 1980. Ecology of the Australian death adder Acanthophis antarcticus (Elapidae): evidence for convergence with the Viperidae. Herpetologica, pp.281-289.",53.51194
Acanthophis_antarcticus,100,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",252,205.8,63,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; Eds. J. Meier and J. White (1995) Handbook of Clinical Toxicology of Animal Venoms and Poisons. CRC Press, Boca Raton; Garnet J.R. (1970) Venomous Australian Animals Dangerous to Man. Commonwealth Serum Laboratories, Parkville, Victoria. ",Mirtschin.et.al.2006Garnet.1970.Meier.and.White.1995.Minton.1974,terrestrial,no,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",1,0.4,sc,mouse,"1(Broad, A. J., Sutherland, S. K., Coulter, A.R. (1979). The lethality in mice of dangerous Australian and other snake venoms. Toxicon (17). 664-667. 11. Mirtschin,P.J. and Davis, R. (1982). Dangerous Snakes of Australia. Rigby. Adelaide.) 2(Minton, S and Minton, M.R. (1969). Venomous Reptiles. Scribners New York.)","Broad, A. J., Sutherland, S. K., Coulter, A.R. (1979). The lethality in mice of dangerous Australian and other snake venoms. Toxicon (17). 664-667. 11. ",0,0,6,53,9,0,32,no,"Shine, R., 1980. Ecology of the Australian death adder Acanthophis antarcticus (Elapidae): evidence for convergence with the Viperidae. Herpetologica, pp.281-289.",53.51194
Agkistrodon_bilineatus,141,http://www.toxinology.com/fusebox.cfm?fuseaction=main.snakes.display&id=SN0326,1417,138.5,269,"Mirtschin, P.J., Dunstan, N., Hough, B., Hamilton, E., Klein, S., Lucas, J., Millar, D., Madaras, F. and Nias, T., 2006. Venom yields from Australian and some other species of snakes. Ecotoxicology, 15(6), pp.531-538.",max.and.average.from.Mirtschin.et.al.2006,terrestrial,no,"Solorzano, A., Romero, M., Gutierrez, J.M. and Sasa, M., 1999. Venom composition and diet of the cantil Agkistrodon bilineatus howardgloydi (Serpentes: Viperidae). The Southwestern Naturalist, pp.478-483.",1,0.31,iv,bird,"Githens, T.S., 1935. Studies on the Venoms of North American Pit Vipers. Journal of Immunology, 29(2).","Githens, T.S., 1935. Studies on the Venoms of North American Pit Vipers. Journal of Immunology, 29(2).",0,0,11,33,0,0,56,no,"Solorzano, A., Romero, M., Gutierrez, J.M. and Sasa, M., 1999. Venom composition and diet of the cantil Agkistrodon bilineatus howardgloydi (Serpentes: Viperidae). The Southwestern Naturalist, pp.478-483.",261.2890099
Agkistrodon_bilineatus,141,http://www.toxinology.com/fusebox.cfm?fuseaction=main.snakes.display&id=SN0326,1417,138.5,269,"Mirtschin, P.J., Dunstan, N., Hough, B., Hamilton, E., Klein, S., Lucas, J., Millar, D., Madaras, F. and Nias, T., 2006. Venom yields from Australian and some other species of snakes. Ecotoxicology, 15(6), pp.531-538.",max.and.average.from.Mirtschin.et.al.2006,terrestrial,no,"Solorzano, A., Romero, M., Gutierrez, J.M. and Sasa, M., 1999. Venom composition and diet of the cantil Agkistrodon bilineatus howardgloydi (Serpentes: Viperidae). The Southwestern Naturalist, pp.478-483.",1,1.25,ip,mouse,"Solorzano, A., Romero, M., Gutierrez, J.M. and Sasa, M., 1999. Venom composition and diet of the cantil Agkistrodon bilineatus howardgloydi (Serpentes: Viperidae). The Southwestern Naturalist, pp.478-483.","Solorzano, A., Romero, M., Gutierrez, J.M. and Sasa, M., 1999. Venom composition and diet of the cantil Agkistrodon bilineatus howardgloydi (Serpentes: Viperidae). The Southwestern Naturalist, pp.478-483.",0,0,11,33,0,0,56,no,"Solorzano, A., Romero, M., Gutierrez, J.M. and Sasa, M., 1999. Venom composition and diet of the cantil Agkistrodon bilineatus howardgloydi (Serpentes: Viperidae). The Southwestern Naturalist, pp.478-483.",261.2890099
Agkistrodon_contortrix,135,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1248,316.2,158,"Ernst, C.H., 1979. Venomous Reptiles of North America. Smithsonian University Press, Washington, D.C.",average_from Gibs and Mackessy 2009,terrestrial,no,"de Queiroz, A. & RodrÍguez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). and Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",1,10.5,ip,mouse,Gibs and Mackessy 2009,"Consroe, P., Gerrish, K., Egen, N., Russell, F.E., 1992. Intravenous dose lethality of American pit viper venoms in mice using standardized",0,37,0,5,4,0,54,no,"Garton, J.S. and Dimmick, R.W., 1969. Food habits of the copperhead in middle Tennessee. J. Tenn. Acad. Sci, 44, pp.113-117.",NA
Agkistrodon_piscivorus,189,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",3323,441,123,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; U.S. Department of the Navy (1968) Poisonous Snakes of the World. United States Government Printing Office, Washington. D.C.",maxvol.from.Brown1973.average.incldes.brown.1973.Minton1974.and.U.S.Dept.Navy.1968.see.www.toxinology.com.for.refs,aquatic,no,"de Queiroz, A. & RodrÍguez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). and Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,2.88,iv,mouse,"Brown JH. 1973. Toxicology and Pharmacology of Venoms from Poisonous Snakes. Springfield, Illinois: Charles C. Thomas. 184 pp. LCCCN 73-229.","Brown JH. 1973. Toxicology and Pharmacology of Venoms from Poisonous Snakes. Springfield, Illinois: Charles C. Thomas. 184 pp. LCCCN 73-229.",41,19,17,22,0,0,1,no,"Vincent, S.E., Herrel, A. and Irschick, D.J., 2004. Sexual dimorphism in head shape and diet in the cottonmouth snake (Agkistrodon piscivorus). Journal of Zoology, 264(1), pp.53-59.",NA
Agkistrodon_piscivorus,189,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",3323,441,123,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; U.S. Department of the Navy (1968) Poisonous Snakes of the World. United States Government Printing Office, Washington. D.C.",maxvol.from.Brown1973.average.incldes.brown.1973.Minton1974.and.U.S.Dept.Navy.1968.see.www.toxinology.com.for.refs,aquatic,no,"de Queiroz, A. & RodrÍguez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). and Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,25.8,sc,mouse,"Brown JH. 1973. Toxicology and Pharmacology of Venoms from Poisonous Snakes. Springfield, Illinois: Charles C. Thomas. 184 pp. LCCCN 73-229.","Brown JH. 1973. Toxicology and Pharmacology of Venoms from Poisonous Snakes. Springfield, Illinois: Charles C. Thomas. 184 pp. LCCCN 73-229.",41,19,17,22,0,0,1,no,"Vincent, S.E., Herrel, A. and Irschick, D.J., 2004. Sexual dimorphism in head shape and diet in the cottonmouth snake (Agkistrodon piscivorus). Journal of Zoology, 264(1), pp.53-59.",NA
Agkistrodon_piscivorus,189,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",3323,441,123,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; U.S. Department of the Navy (1968) Poisonous Snakes of the World. United States Government Printing Office, Washington. D.C.",maxvol.from.Brown1973.average.incldes.brown.1973.Minton1974.and.U.S.Dept.Navy.1968.see.www.toxinology.com.for.refs,aquatic,no,"de Queiroz, A. & RodrÍguez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). and Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,0.31,iv,bird,,"Githens, T.S., 1935. Studies on the Venoms of North American Pit Vipers. Journal of Immunology, 29(2).",41,19,17,22,0,0,1,no,"Vincent, S.E., Herrel, A. and Irschick, D.J., 2004. Sexual dimorphism in head shape and diet in the cottonmouth snake (Agkistrodon piscivorus). Journal of Zoology, 264(1), pp.53-59.",NA
Agkistrodon_piscivorus,189,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",3323,441,123,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; U.S. Department of the Navy (1968) Poisonous Snakes of the World. United States Government Printing Office, Washington. D.C.",maxvol.from.Brown1973.average.incldes.brown.1973.Minton1974.and.U.S.Dept.Navy.1968.see.www.toxinology.com.for.refs,aquatic,no,"de Queiroz, A. & RodrÍguez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). and Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,5.11,ip,mouse,"Gibs and Mackessy 2009. Brown JH. 1973. Toxicology and Pharmacology of Venoms from Poisonous Snakes. Springfield, Illinois: Charles C. Thomas. 184 pp. LCCCN 73-229.","Consroe, P., Gerrish, K., Egen, N., Russell, F.E., 1992. Intravenous dose lethality of American pit viper venoms in mice using standardized",41,19,17,22,0,0,1,no,"Vincent, S.E., Herrel, A. and Irschick, D.J., 2004. Sexual dimorphism in head shape and diet in the cottonmouth snake (Agkistrodon piscivorus). Journal of Zoology, 264(1), pp.53-59.",NA
