species,family,length_cm,length_ref,mass_grams,phylo_distance_diet_model_my,venom_yield_mg,venom_yield_ref,environment,Env_refs,dimensions,constriction,ld50_mg,species,ld50_error,Error_type,ld50_method,ld50_model_class,ld50_model,ld50_ref,fishes,inverts,amphibians,reptiles,birds,eggs,mammals,egg.bin,diet_refs,prey_size_g,max_prey_g
Acalyptophis_peronii,Elapidae,140,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",567,419,0.33,"Minton, S.A., 1983. Lethal toxicity of venoms of snakes from the Coral Sea. Toxicon, 21(6), pp.901-902.",aquatic,"Voris, H.K. and Voris, H.H., 1983. Feeding strategies in marine snakes: an analysis of evolutionary, morphological, behavioral and ecological relationships. American Zoologist, 23(2), pp.411-425.",3,no,0.079,Acalyptophis_peronii,0.062-0.101,95_confidence_interval,sc,mammal,Mus_musculus,Minton 1983. Lethal Toxicity of venoms of snakes from the coral sea Toxicon 21:901,100,0,0,0,0,0,0,no,"Voris, H.K. and Voris, H.H., 1983. Feeding strategies in marine snakes: an analysis of evolutionary, morphological, behavioral and ecological relationships. American Zoologist, 23(2), pp.411-425.",7.94,7.94
Acanthophis_antarcticus,Elapidae,100,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",252,238.5045,63,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; Eds. J. Meier and J. White (1995) Handbook of Clinical Toxicology of Animal Venoms and Poisons. CRC Press, Boca Raton; Garnet J.R. (1970) Venomous Australian Animals Dangerous to Man. Commonwealth Serum Laboratories, Parkville, Victoria. ",terrestrial,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",1,no,0.5,Acanthophis_antarcticus,,"cant get Minton, S and Minton, M.R. (1969). Venomous Reptiles. Scribners New York. ",sc,mammal,Mus_musculus,"Minton, S and Minton, M.R. (1969). Venomous Reptiles. Scribners New York. ",0,0,6,53,9,0,32,no,"Shine, R., 1980. Ecology of the Australian death adder Acanthophis antarcticus (Elapidae): evidence for convergence with the Viperidae. Herpetologica, pp.281-289.",53.51194,559.2
Acanthophis_antarcticus,Elapidae,100,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",252,238.5045,63,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; Eds. J. Meier and J. White (1995) Handbook of Clinical Toxicology of Animal Venoms and Poisons. CRC Press, Boca Raton; Garnet J.R. (1970) Venomous Australian Animals Dangerous to Man. Commonwealth Serum Laboratories, Parkville, Victoria. ",terrestrial,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",1,no,0.25,Acanthophis_antarcticus,,"cant get Minton, S and Minton, M.R. (1969). Venomous Reptiles. Scribners New York. ",iv,mammal,Mus_musculus,"Minton, S and Minton, M.R. (1969). Venomous Reptiles. Scribners New York. ",0,0,6,53,9,0,32,no,"Shine, R., 1980. Ecology of the Australian death adder Acanthophis antarcticus (Elapidae): evidence for convergence with the Viperidae. Herpetologica, pp.281-289.",53.51194,559.2
Acanthophis_antarcticus,Elapidae,100,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",252,238.5045,63,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; Eds. J. Meier and J. White (1995) Handbook of Clinical Toxicology of Animal Venoms and Poisons. CRC Press, Boca Raton; Garnet J.R. (1970) Venomous Australian Animals Dangerous to Man. Commonwealth Serum Laboratories, Parkville, Victoria. ",terrestrial,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",1,no,0.4,Acanthophis_antarcticus,0.336  - 0.472,95_confidence_interval,sc,mammal,Mus_musculus,"Broad, A. J., Sutherland, S. K., Coulter, A.R. (1979). The lethality in mice of dangerous Australian and other snake venoms. Toxicon (17). 664-667. 11. ",0,0,6,53,9,0,32,no,"Shine, R., 1980. Ecology of the Australian death adder Acanthophis antarcticus (Elapidae): evidence for convergence with the Viperidae. Herpetologica, pp.281-289.",53.51194,559.2
Agkistrodon_bilineatus,Viperidae,141,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1417,305.9685,269,"Mirtschin, P.J., Dunstan, N., Hough, B., Hamilton, E., Klein, S., Lucas, J., Millar, D., Madaras, F. and Nias, T., 2006. Venom yields from Australian and some other species of snakes. Ecotoxicology, 15(6), pp.531-538.",terrestrial,"Solorzano, A., Romero, M., Gutierrez, J.M. and Sasa, M., 1999. Venom composition and diet of the cantil Agkistrodon bilineatus howardgloydi (Serpentes: Viperidae). The Southwestern Naturalist, pp.478-483.",1,no,0.31,Agkistrodon_bilineatus,0.20-0.43,Ldmax-Ldmin,iv,bird,Columba_sp,"Githens, T.S., 1935. Studies on the Venoms of North American Pit Vipers. Journal of Immunology, 29(2).",0,0,11,33,0,0,56,no,"Solorzano, A., Romero, M., Gutierrez, J.M. and Sasa, M., 1999. Venom composition and diet of the cantil Agkistrodon bilineatus howardgloydi (Serpentes: Viperidae). The Southwestern Naturalist, pp.478-483.",261.2890099,1034
Agkistrodon_bilineatus,Viperidae,141,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1417,259.033,269,"Mirtschin, P.J., Dunstan, N., Hough, B., Hamilton, E., Klein, S., Lucas, J., Millar, D., Madaras, F. and Nias, T., 2006. Venom yields from Australian and some other species of snakes. Ecotoxicology, 15(6), pp.531-538.",terrestrial,"Solorzano, A., Romero, M., Gutierrez, J.M. and Sasa, M., 1999. Venom composition and diet of the cantil Agkistrodon bilineatus howardgloydi (Serpentes: Viperidae). The Southwestern Naturalist, pp.478-483.",1,no,1.25,Agkistrodon_bilineatus,,none given,ip,mammal,Mus_musculus,"Solorzano, A., Romero, M., Gutierrez, J.M. and Sasa, M., 1999. Venom composition and diet of the cantil Agkistrodon bilineatus howardgloydi (Serpentes: Viperidae). The Southwestern Naturalist, pp.478-483.",0,0,11,33,0,0,56,no,"Solorzano, A., Romero, M., Gutierrez, J.M. and Sasa, M., 1999. Venom composition and diet of the cantil Agkistrodon bilineatus howardgloydi (Serpentes: Viperidae). The Southwestern Naturalist, pp.478-483.",261.2890099,1034
Agkistrodon_bilineatus,Viperidae,141,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1417,259.033,269,"Mirtschin, P.J., Dunstan, N., Hough, B., Hamilton, E., Klein, S., Lucas, J., Millar, D., Madaras, F. and Nias, T., 2006. Venom yields from Australian and some other species of snakes. Ecotoxicology, 15(6), pp.531-538.",terrestrial,"Solorzano, A., Romero, M., Gutierrez, J.M. and Sasa, M., 1999. Venom composition and diet of the cantil Agkistrodon bilineatus howardgloydi (Serpentes: Viperidae). The Southwestern Naturalist, pp.478-483.",1,no,2.4,Agkistrodon_bilineatus,,cant get page,iv,mammal,Mus_musculus,Handbook of Natural Toxins: Reptile Venoms and Toxins,0,0,11,33,0,0,56,no,"Solorzano, A., Romero, M., Gutierrez, J.M. and Sasa, M., 1999. Venom composition and diet of the cantil Agkistrodon bilineatus howardgloydi (Serpentes: Viperidae). The Southwestern Naturalist, pp.478-483.",261.2890099,1034
Agkistrodon_bilineatus,Viperidae,141,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1417,259.033,269,"Mirtschin, P.J., Dunstan, N., Hough, B., Hamilton, E., Klein, S., Lucas, J., Millar, D., Madaras, F. and Nias, T., 2006. Venom yields from Australian and some other species of snakes. Ecotoxicology, 15(6), pp.531-538.",terrestrial,"Solorzano, A., Romero, M., Gutierrez, J.M. and Sasa, M., 1999. Venom composition and diet of the cantil Agkistrodon bilineatus howardgloydi (Serpentes: Viperidae). The Southwestern Naturalist, pp.478-483.",1,no,1.155,Agkistrodon_bilineatus,,cant get page,ip,mammal,Mus_musculus,Handbook of Natural Toxins: Reptile Venoms and Toxins,0,0,11,33,0,0,56,no,"Solorzano, A., Romero, M., Gutierrez, J.M. and Sasa, M., 1999. Venom composition and diet of the cantil Agkistrodon bilineatus howardgloydi (Serpentes: Viperidae). The Southwestern Naturalist, pp.478-483.",261.2890099,1034
Agkistrodon_bilineatus,Viperidae,141,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1417,259.033,269,"Mirtschin, P.J., Dunstan, N., Hough, B., Hamilton, E., Klein, S., Lucas, J., Millar, D., Madaras, F. and Nias, T., 2006. Venom yields from Australian and some other species of snakes. Ecotoxicology, 15(6), pp.531-538.",terrestrial,"Solorzano, A., Romero, M., Gutierrez, J.M. and Sasa, M., 1999. Venom composition and diet of the cantil Agkistrodon bilineatus howardgloydi (Serpentes: Viperidae). The Southwestern Naturalist, pp.478-483.",1,no,0.8,Agkistrodon_bilineatus,,cant get page,iv,mammal,Mus_musculus,Handbook of Natural Toxins: Reptile Venoms and Toxins,0,0,11,33,0,0,56,no,"Solorzano, A., Romero, M., Gutierrez, J.M. and Sasa, M., 1999. Venom composition and diet of the cantil Agkistrodon bilineatus howardgloydi (Serpentes: Viperidae). The Southwestern Naturalist, pp.478-483.",261.2890099,1034
Agkistrodon_contortrix,Viperidae,135,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1248,252.1881306,158,"Ernst, C.H., 1979. Venomous Reptiles of North America. Smithsonian University Press, Washington, D.C.",terrestrial,"de Queiroz, A. & Rodr身uez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). and Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",1,no,4.2,Agkistrodon_contortrix,,cant get page,ip,mammal,Mus_musculus,Handbook of Natural Toxins: Reptile Venoms and Toxins,0,37,0,5,4,0,54,no,"Garton, J.S. and Dimmick, R.W., 1969. Food habits of the copperhead in middle Tennessee. J. Tenn. Acad. Sci, 44, pp.113-117.",NA,42.5
Agkistrodon_contortrix,Viperidae,135,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1248,252.1881306,158,"Ernst, C.H., 1979. Venomous Reptiles of North America. Smithsonian University Press, Washington, D.C.",terrestrial,"de Queiroz, A. & Rodr身uez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). and Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",1,no,2.7,Agkistrodon_contortrix,,cant get page,iv,mammal,Mus_musculus,Handbook of Natural Toxins: Reptile Venoms and Toxins,0,37,0,5,4,0,54,no,"Garton, J.S. and Dimmick, R.W., 1969. Food habits of the copperhead in middle Tennessee. J. Tenn. Acad. Sci, 44, pp.113-117.",NA,42.5
