species	sub.species	prey_species	prop_prey	level_ident	prey_taxa	sum_prop
Acalyptophis_peronii		Gobiidae_sp	1	genus		1
Acanthophis_antarcticus		Frog_sp	0.06	class	amphibian	0.93
Acanthophis_antarcticus		Cryptoblepharu_plagiocephalus	0.03	species	reptile	
Acanthophis_antarcticus		Ctenotus_taeniolatus	0.03	species	reptile	
Acanthophis_antarcticus		Ctenotus_robustus	0.06	species	reptile	
Acanthophis_antarcticus		Lampropholis_sp	0.09	genus	reptile	
Acanthophis_antarcticus		Leiolopisma_sp	0.12	genus	reptile	
Acanthophis_antarcticus		Eulamprus_quoyii	0.03	species	reptile	
Acanthophis_antarcticus		Amphibolurus_muricatus	0.03	species	reptile	
Acanthophis_antarcticus		Lophognathus_gilberti	0.03	species	reptile	
Acanthophis_antarcticus		Physignathus_lesueurii	0.03	species	reptile	
Acanthophis_antarcticus		Bird spp.	0.09	class	aves	
Acanthophis_antarcticus		Mammal spp	0.09	class	mammalia	
Acanthophis_antarcticus		Antechinus_sp	0.06	genus	mammalia	
Acanthophis_antarcticus		Mus_musculus	0.09	species	mammalia	
Acanthophis_antarcticus		Mammalian_but_not_Mus	0.09	class	mammalia	
Acanthophis_praelongus	not_calulating as no LD50					
Agkistrodon_bilineatus		Mabuya_unimarginata	0.15		reptile	
Agkistrodon_bilineatus		Ameiva_undulata	0.08		reptile	
Agkistrodon_bilineatus		Ctenosaura_similis	0.23		reptile	
Agkistrodon_bilineatus		Hypopachus_variolosus	0.08		amphibian	
Agkistrodon_bilineatus		Leptodactylus_poecilochilus	0.08		amphibian	
Agkistrodon_bilineatus		Liomys_salvinii	0.31		mammalia	
Agkistrodon_bilineatus		Sigmodon_hispidus	0.08		mammalia	1.01
Agkistrodon_contortrix		Microtus_ochrogaster	0.178		mammalia	
Agkistrodon_contortrix		Microtus_pinetorum	0.109		mammalia	
Agkistrodon_contortrix		Microtus_sp	0.01		mammalia	
Agkistrodon_contortrix		Peromyscus_sp	0.089		mammalia	
Agkistrodon_contortrix		Blarina_brevicauda	0.06		mammalia	
Agkistrodon_contortrix		Crypototis_parva	0.228		mammalia	
Agkistrodon_contortrix		Automeris io larva	0.197		insect	
Agkistrodon_contortrix		Citheronia_regalis larva	0.019		insect	
Agkistrodon_contortrix		Cicadidae_sp	0.02		insect	
Agkistrodon_contortrix		Aves_sp	0.04		aves	
Agkistrodon_contortrix		Sceloporus_undulatus	0.03		reptile	
Agkistrodon_contortrix		Reptile_sp	0.01		reptile	
Agkistrodon_contortrix		snake_sp	0.01		reptile	1
Agkistrodon_piscivorus	comeback	comeback	comeback	comeback	chris_ecology_leters_paper	
Aipysurus_duboisii		Acanthuridae	0.25		fish	
Aipysurus_duboisii		Blenniidae	0.25		fish	
Aipysurus_duboisii		Muraenidae	0.25		fish	
Aipysurus_duboisii		Scaridae	0.25		fish	
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
	collilineatus					
	cumanensis					
	cumanensis					
	terrificus					
						
						
						
						
						
						
						
						
						
						
						
						
						
	mitchellii					
	pyrrhus					
						
						
						
						
						
	lutosus					
	lutosus					
	lutosus					
	concolor					
	concolor					
	concolor					
	cerberus					
	cerberus					
	abyssus					
	oreganus					
	oreganus					
	oreganus					
						
						
						
						
						
						
	ruber					
	ruber					
	ruber					
	scutulatus					
	scutulatus					
						
						
						
						
						
						
	viridis					
	viridis					
	viridis					
						
						
						
						
						
	russelii					
	russelii					
	russelii					
	siamensis					
						
						
						
						
						
						
						
						
						
	regalis					
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
	diadema					
						
						
						
						
						
						
						
						
						
	Synonym.of.Lapemis.hardwickii.all.values.from.hardwik.used.here					
	Synonym.of.Lapemis.hardwickii					
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
	ater					
	humphreysi					
	niger					
	occidentalis					
	serventyi					
						
						
						
						
						
						
						
						
						
	scutellatus					
	scutellatus					
	scutellatus					
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
	grahamiae					
						
						
						
						
						
						
						
						
	vagrans					
						
						
						
						
						
						
						
						
	lambda					
