species,sub.species,average_prey_size,refs_comments,prey_species_1,size_g1,percent_diet1,size_ref1,prey_species_2,size_g2,percent_diet2,size_ref2,prey_species_3,size_g3,percent_diet3,size_ref3,prey_species_4,size_g4,percent_diet4,size_ref4,prey_species_5,size_g5,percent_diet5,size_ref5,prey_species_6,size_g6,percent_diet6,size_ref6,prey_species_7,size_g7,percent_diet7,size_ref7,prey_species_8,size_g8,percent_diet8,size_ref8,prey_species_9,size_g9,percent_diet9,size_ref9,prey_species_10,size_g10,percent_diet10,size_ref10,prey_species_11,size_g11,percent_diet11,size_ref11,prey_species_12,size_g12,percent_diet12,size_ref12,prey_species_13,size_g13,percent_diet13,size_ref13,prey_species_14,size_g14,percent_diet14,size_ref14,prey_species_15,size_g15,percent_diet15,size_ref15,prey_species_16,size_g16,percent_diet16,size_ref16,prey_species_17,size_g17,percent_diet17,size_ref17,prey_species_18,size_g18,percent_diet18,size_ref18,prey_species_19,size_g19,percent_diet19,size_ref19,prey_species_20,size_g20,percent_diet20,size_ref20,prey_species_21,size_g21,percent_diet21,size_ref21,prey_species_22,size_g22,percent_diet22,size_ref22,prey_species_23,size_g23,percent_diet23,size_ref23,prey_species_24,size_g24,percent_diet24,size_ref24,prey_species_25,size_g25,percent_diet25,size_ref25,prey_species_26,size_g26,percent_diet26,size_ref26,prey_species_27,size_g27,percent_diet27,size_ref27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acalyptophis_peronii,,7.94,,Gobiidae_sp,7.94,1,"10cm from fishbase http://www.fishbase.org/summary/FamilySummary.php?ID=405 ; Bayesian length-weight: a=0.00589 (0.00269 - 0.01291), b=3.13 (2.94 - 3.32), based on LWR estimates for this (Sub)family-body shape (Ref. 93245).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthophis_antarcticus,,53.51194,,Frog sp,NA,0.06,Meiri 2010,Cryptoblepharu_plagiocephalus,1,0.03,Meiri 2010,Ctenotus_taeniolatus,4.5,0.03,Meiri 2010,Ctenotus_robustus,32.3,0.06,123mm svl from Reptiles and Amphibians of Australia. Scaling from Meiri 2010,Lampropholis sp,1.46,0.09,average for genus in Meiri 2010,Leiolopisma,46.1647,0.12,genus mean (exculing the extinct Leiolopisma mauritiana) from Myhrvold et al 2015 database. Scaling from Meiri 2010,Eulamprus_quoyii,27.9,0.03,Meiri 2010 (synom with Sphenomorphus quoyi in Shine 1980),Amphibolurus muricatus,23.55,0.03,10cm SVL from Reptiles and Amphibians of Australia. Scaling from Meiri 2010 ,Lophognathus gilberti,50.29,0.03,"12.8cm SVL from Wilson, S. (2005) A Field Guide to Reptiles of Queensland. Reed New Holland, Sydney. Scaling from Meiri 2010 ",Physignathus lesueurii,559.2,0.03,Meiri 2010,Bird spp.,NA,0.09,NA,Mammal spp,NA,0.09,NA,Antechinus spp.,44.33,0.06,Genus median from Pantheiria,Mus musculus,20.5,0.09,Myhrvold et al 2015,Mammalian but not Mus,NA,0.09,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthophis_praelongus,,,,not_calulating as no LD50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agkistrodon_bilineatus,mexico,261.2890099,,Mabuya unimarginata,12.13,0.15,89 mm SVL from reptile database. Scaling from Meiri 2010,Ameiva_undulata,19.4,0.08,Meiri 2010,Ctenosaura_similis,1034,0.23,Meiri 2010,Hypopachus variolosus,2.03,0.08,"median svl 33.125 from (Males 25.0_37.5 mm SVL, females 29.0_41.0 mm (Wright and Wright, 1949)(http://amphibiaweb.org/species/2137). Scaling to Pough 1980",Leptodactylus_poecilochilus,3.8,0.08,"41mm from (33 to 49 mm, with SVL in adult females measuring 32 to 50 mm (http://amphibiaweb.org/cgi/amphib_query?rel-common_name=like&rel-family=equals&rel-ordr=equals&rel-intro_isocc=like&rel-description=like&rel-distribution=like&rel-life_history=like&rel-trends_and_threats=like&rel-relation_to_humans=like&rel-comments=like&rel-submittedby=like&max=200&orderbyaw=Family&include_synonymies=Yes&show_photos=Yes&rel-scientific_name=contains&where-scientific_name=Leptodactylus+poecilochilus&rel-genus=equals&where-genus=&rel-species=equals&where-species=&where-common_name=&where-clade=&where-subfamily=&where-family=any&where-ordr=any&rel-isocc=occurs+in&where-isocc=&rel-species_account=matchboolean&where-species_account=&rel-declinecauses=equals&where-declinecauses=&rel-iucn=begins+with&where-iucn=&rel-cites=equals&where-cites=&where-submittedby=) Savage, J. M. (2002). The Amphibians and Reptiles of Costa Rica. University of Chicago Press, Chicago and London. ). Scaling to Pough 1980",Liomys_salvinii,43.2,0.31,Pantheria database,Sigmodon_hispidus,110.65,0.08,Pantheria database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agkistrodon_contortrix,,Need to figure out how to score insects,,Microtus_ochrogaster,42.5,0.178,Pantheria database,Microtus_pinetorum,25.95,0.109,Pantheria database,Microtus_sp,40.53842,0.01,mean for genus in Pantheria database,Peromyscus_sp,31.96842,0.089,mean for genus in Pantheria database,Blarina_brevicauda,18.56,0.06,Pantheria database,Crypototis_parva,4.97,,Cryptotis_parva Pantheria database,Automeris io larva,NA,0.197,NA,Citheronia_regalis larva,NA,0.019,NA,Cicadidae_sp,NA,0.02,NA,Aves_sp,NA,0.04,NA,Sceloporus_undulatus,11.3,0.03,Meiri 2010,Reptile_sp,NA,0.01,NA,Snake_sp,NA,0.01,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agkistrodon_piscivorus,,comeback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aipysurus_duboisii,,comeback need to deal with fish family size,,Acanthuridae,NA,0.25,NA,Blenniidae,NA,0.25,NA,Muraenidae,NA,0.25,NA,Scaridae,NA,0.25,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aipysurus_eydouxii,,12.9,,fish_eggs,12.9,0.96,average from species in Bonis_awska et al 2001 http://www.ejpau.media.pl/volume4/issue2/fisheries/art-02.html,cuttlefish,NA,0.04,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aipysurus_foliosquama,,not in phylo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aipysurus_laevis,,comeback need to deal with fish family size,,Acanthuridae,NA,0.07,NA,Apogonidae,NA,0.374,NA,Carangidae,NA,0.01,NA,Clupeidae,NA,0.01,NA,Engraulidae,NA,0.01,NA,Labridae,NA,0.024,NA,Lutjanidae,NA,0.084337349,NA,Pempheridae,NA,0.168674699,NA,Pomacentridae,NA,0.024096386,NA,Scaridae,NA,0.048192771,NA,Scorpaenidae,NA,0.024096386,NA,Serranidae,NA,0.024096386,NA,fish eggs,12.9,0.012048193,average from species in Bonis_awska et al 2001,Crabs,NA,0.048192771,NA,Shrimp,NA,0.048192771,NA,Pelecypod,NA,0.012048193,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
